name,artist,thumbnailURL,album,link,length,views,date,albumYear,albumThumbnail
ショック！ - Shock!,sakanaction,https://img.youtube.com/vi/SsfjOpshZHk/maxresdefault.jpg,Shock!,https://music.youtube.com/watch?v=SsfjOpshZHk,5:06,931834,2022-01-25,2022,https://lh3.googleusercontent.com/ViNDG76drg7L-eHKcLPZJGyKVi3VZlE2QMFgmTm3QnN2NKqHbJPZW1MK_-y40iH54bJcIuQBvO9EH_GC=w544-h544-l90-rj
モス - Moth,sakanaction,https://img.youtube.com/vi/-ydPxD2JxOE/maxresdefault.jpg,834.194,https://music.youtube.com/watch?v=-ydPxD2JxOE,4:05,3946555,2019-06-18,2019,https://lh3.googleusercontent.com/nOt7bbpmEgdxmQIB0tLYV_xeLD0-EkYqltaKOEEF8sqMF-57OwSqXPXdWg5l2NKcF9jswOO31luC1U140w=w544-h544-l90-rj
PINK,キタニタツヤ,https://img.youtube.com/vi/lvaydAGvWog/maxresdefault.jpg,BIPOLAR,https://music.youtube.com/watch?v=lvaydAGvWog,2:57,495300,2022-05-24,2022,https://lh3.googleusercontent.com/6WReQ0F6MrH7kF1Zj9qDGf40GvW40x262hvhIuHWkmoWQHwsoIEGsskDbLD6Lw1WB8xt-agfbsqQz2-V1A=w544-h544-l90-rj
"“青春病” - ""Seishun Sick""",Fujii Kaze,https://img.youtube.com/vi/hTEMQWr-688/maxresdefault.jpg,LOVE ALL SERVE ALL,https://music.youtube.com/watch?v=hTEMQWr-688,5:25,7916336,2022-03-22,2022,https://lh3.googleusercontent.com/CWX4YCTA0LaPNQstef6Z84h47u6BhwWy2EwpVJCUDAUegvGYIlOffZxMLFP-xarjDqRlJXtumCRbbwo=w544-h544-l90-rj
月の椀 - Tsuki no Wan,sakanaction,https://img.youtube.com/vi/l21CsB5SJBg/maxresdefault.jpg,Adapt,https://music.youtube.com/watch?v=l21CsB5SJBg,4:10,2171402,2022-03-29,2022,https://lh3.googleusercontent.com/_Qj6ayakXWlO0dFwBE8MziS-NDfwGPP874qHnP1xHx1Fu7oKfDNbP1FP0dgbj1Qj5Nxm0XEFM5BGruKn=w544-h544-l90-rj
忘れられないの - Wasurerarenaino,sakanaction,https://img.youtube.com/vi/HbXaUmWaU5Q/maxresdefault.jpg,834.194,https://music.youtube.com/watch?v=HbXaUmWaU5Q,3:58,12014190,2019-06-18,2019,https://lh3.googleusercontent.com/nOt7bbpmEgdxmQIB0tLYV_xeLD0-EkYqltaKOEEF8sqMF-57OwSqXPXdWg5l2NKcF9jswOO31luC1U140w=w544-h544-l90-rj
夜の踊り子 - Yoru No Odoriko,sakanaction,https://img.youtube.com/vi/F8e2ohz1Jwg/maxresdefault.jpg,sakanaction,https://music.youtube.com/watch?v=F8e2ohz1Jwg,5:03,5201233,2018-07-09,2013,https://lh3.googleusercontent.com/vMjo6Hfk7pZPrHh7KB_lo-nkP5wG-eKr6Q_wDgeAiMBudOarYYSOHISXE1zTH94Z47dSibClOxyX1YvxJA=w544-h544-s-l90-rj
M,sakanaction,https://img.youtube.com/vi/FgCGAfCv0Ig/maxresdefault.jpg,sakanaction,https://music.youtube.com/watch?v=FgCGAfCv0Ig,3:53,646475,2018-07-09,2013,https://lh3.googleusercontent.com/vMjo6Hfk7pZPrHh7KB_lo-nkP5wG-eKr6Q_wDgeAiMBudOarYYSOHISXE1zTH94Z47dSibClOxyX1YvxJA=w544-h544-s-l90-rj
多分、風。 - Tabun Kaze,sakanaction,https://img.youtube.com/vi/EU9kMWsErRg/maxresdefault.jpg,Tabun Kaze,https://music.youtube.com/watch?v=EU9kMWsErRg,4:55,4670394,2018-07-09,2016,https://lh3.googleusercontent.com/oa8WK4zO4bPaCBHi6DMhNFJmetrBBXbsktG-wqJ3EFHXJIk1ei6rXFI3iFoaFJSK9PDhRRvYPMaSboPV=w544-h544-l90-rj
アイデア - Idea,Gen Hoshino,https://img.youtube.com/vi/bwqurkN3vhE/maxresdefault.jpg,POP VIRUS,https://music.youtube.com/watch?v=bwqurkN3vhE,4:41,14275964,2019-08-29,2018,https://lh3.googleusercontent.com/AUbQLDdIcJulGaHcpEpCucXfleMiRMpJofdQGhtk5PBrjJUrLQuWFOyee-L_WgrFcTk7JSot45_YuEC7CQ=w544-h544-l90-rj
Pop Virus,Gen Hoshino,https://img.youtube.com/vi/8PbGeKwEnK0/maxresdefault.jpg,POP VIRUS,https://music.youtube.com/watch?v=8PbGeKwEnK0,3:02,11734986,2019-08-29,2018,https://lh3.googleusercontent.com/AUbQLDdIcJulGaHcpEpCucXfleMiRMpJofdQGhtk5PBrjJUrLQuWFOyee-L_WgrFcTk7JSot45_YuEC7CQ=w544-h544-l90-rj
恋 - Koi,Gen Hoshino,https://img.youtube.com/vi/OSeStDEAZJQ/maxresdefault.jpg,POP VIRUS,https://music.youtube.com/watch?v=OSeStDEAZJQ,4:12,3306292,2019-08-29,2018,https://lh3.googleusercontent.com/AUbQLDdIcJulGaHcpEpCucXfleMiRMpJofdQGhtk5PBrjJUrLQuWFOyee-L_WgrFcTk7JSot45_YuEC7CQ=w544-h544-l90-rj
まつり - Matsuri,Fujii Kaze,https://img.youtube.com/vi/HMqhXxH5-RQ/maxresdefault.jpg,LOVE ALL SERVE ALL,https://music.youtube.com/watch?v=HMqhXxH5-RQ,3:46,36350645,2022-03-22,2022,https://lh3.googleusercontent.com/CWX4YCTA0LaPNQstef6Z84h47u6BhwWy2EwpVJCUDAUegvGYIlOffZxMLFP-xarjDqRlJXtumCRbbwo=w544-h544-l90-rj
ガーデン - Garden,Fujii Kaze,https://img.youtube.com/vi/53rIic2lvKc/maxresdefault.jpg,LOVE ALL SERVE ALL,https://music.youtube.com/watch?v=53rIic2lvKc,3:50,27843434,2022-03-22,2022,https://lh3.googleusercontent.com/CWX4YCTA0LaPNQstef6Z84h47u6BhwWy2EwpVJCUDAUegvGYIlOffZxMLFP-xarjDqRlJXtumCRbbwo=w544-h544-l90-rj
きらり - Kirari,Fujii Kaze,https://img.youtube.com/vi/IFCDLIKSArs/maxresdefault.jpg,LOVE ALL SERVE ALL,https://music.youtube.com/watch?v=IFCDLIKSArs,3:48,50836237,2022-03-22,2022,https://lh3.googleusercontent.com/CWX4YCTA0LaPNQstef6Z84h47u6BhwWy2EwpVJCUDAUegvGYIlOffZxMLFP-xarjDqRlJXtumCRbbwo=w544-h544-l90-rj
Aoi,sakanaction,https://img.youtube.com/vi/65Ah1Yj59zA/maxresdefault.jpg,sakanaction,https://music.youtube.com/watch?v=65Ah1Yj59zA,4:17,4205243,2018-07-09,2013,https://lh3.googleusercontent.com/vMjo6Hfk7pZPrHh7KB_lo-nkP5wG-eKr6Q_wDgeAiMBudOarYYSOHISXE1zTH94Z47dSibClOxyX1YvxJA=w544-h544-s-l90-rj
新宝島 - Shin Takara Jima,sakanaction,https://img.youtube.com/vi/0EuC4jUbITA/maxresdefault.jpg,834.194,https://music.youtube.com/watch?v=0EuC4jUbITA,5:05,31578345,2019-06-18,2019,https://lh3.googleusercontent.com/nOt7bbpmEgdxmQIB0tLYV_xeLD0-EkYqltaKOEEF8sqMF-57OwSqXPXdWg5l2NKcF9jswOO31luC1U140w=w544-h544-l90-rj
踊り子 - odoriko,Vaundy,https://img.youtube.com/vi/CnlMTBwsBHs/maxresdefault.jpg,odoriko,https://music.youtube.com/watch?v=CnlMTBwsBHs,3:51,43603530,2021-11-16,2021,https://lh3.googleusercontent.com/8TjDZHGcFRV1JP0Vq7BTqF-xvbwkPDcJ2D72hJMGc5oS4B4-wj7LDpggOuJuMW3d526pfNqfVdRLJtjenw=w544-h544-l90-rj
東京フラッシュ - Tokyo Flash,Vaundy,https://img.youtube.com/vi/hS2BVRnQiYI/maxresdefault.jpg,Tokyo Flash,https://music.youtube.com/watch?v=hS2BVRnQiYI,4:19,18469147,2020-05-25,2020,https://lh3.googleusercontent.com/YM7xFhJOJPC3tP9Fs236qTMdzpNLLlK82lKiLYHTrxgdb4LHC0yZ1pV9c67cH0zmlnMFlhZPj3sz7zpE=w544-h544-l90-rj
Week End,Gen Hoshino,https://img.youtube.com/vi/92pdJyzIGbw/maxresdefault.jpg,YELLOW DANCER,https://music.youtube.com/watch?v=92pdJyzIGbw,4:31,6937231,2019-08-29,2015,https://lh3.googleusercontent.com/_Iynu6U6gxVpT11REQ5DsxiJtEF_aRidV84z6I8pzWQEP8iFtvhkhFhk8N6tzOUQFkBFKY18A--zC0Va=w544-h544-l90-rj
時よ - Tokiyo,Gen Hoshino,https://img.youtube.com/vi/Lu_GOXkUkKM/maxresdefault.jpg,YELLOW DANCER,https://music.youtube.com/watch?v=Lu_GOXkUkKM,4:16,3109227,2019-08-29,2015,https://lh3.googleusercontent.com/_Iynu6U6gxVpT11REQ5DsxiJtEF_aRidV84z6I8pzWQEP8iFtvhkhFhk8N6tzOUQFkBFKY18A--zC0Va=w544-h544-l90-rj
陽炎 - Kagero,sakanaction,https://img.youtube.com/vi/PTHfF-JzmQk/maxresdefault.jpg,834.194,https://music.youtube.com/watch?v=PTHfF-JzmQk,4:33,1689792,2019-06-18,2019,https://lh3.googleusercontent.com/nOt7bbpmEgdxmQIB0tLYV_xeLD0-EkYqltaKOEEF8sqMF-57OwSqXPXdWg5l2NKcF9jswOO31luC1U140w=w544-h544-l90-rj
かつて天才だった俺たちへ - To Us Former Prodigies,Creepy Nuts,https://img.youtube.com/vi/LgHGioNZUeU/maxresdefault.jpg,To Us Former Prodigies,https://music.youtube.com/watch?v=LgHGioNZUeU,3:35,1005152,2020-08-25,2020,https://lh3.googleusercontent.com/wnikFv9Co8frUAHzQ_NP3rnQtSQKku1fA1lfvSeslFba8zhtUKs7E51wkRlERl2mxAfSa-HzPFEBnkPP=w544-h544-l90-rj
ユリイカ - Eureka,sakanaction,https://img.youtube.com/vi/gzrfAleNqKI/maxresdefault.jpg,834.194,https://music.youtube.com/watch?v=gzrfAleNqKI,5:37,1406038,2019-06-18,2019,https://lh3.googleusercontent.com/nOt7bbpmEgdxmQIB0tLYV_xeLD0-EkYqltaKOEEF8sqMF-57OwSqXPXdWg5l2NKcF9jswOO31luC1U140w=w544-h544-l90-rj
34 West 10th Street,Miyake,https://img.youtube.com/vi/ZV1yz5aUI2I/maxresdefault.jpg,34 West 10th Street,https://music.youtube.com/watch?v=ZV1yz5aUI2I,5:00,21316,2021-05-30,2021,https://lh3.googleusercontent.com/AqcupC6x9DNmZH02UzYf9AXwR-i6lFMAYUknssKXPrDWgL2cnVFAwK3oaf1L8evDrESFXXdupXhP3p4a7A=w544-h544-l90-rj
千本桜 - Senbonzakura,Ado,https://img.youtube.com/vi/SiULHyA2Z9c/maxresdefault.jpg,Senbonzakura,https://music.youtube.com/watch?v=SiULHyA2Z9c,4:02,17676986,2021-12-28,2021,https://lh3.googleusercontent.com/HlPm902s8T3ZlWfz-oUiAEvQIq-QzEeAh7JM70UhvBPAaTUrF-rcFubvvJA4EXpT59EswGK_dSrYEN0=w544-h544-l90-rj
うっせぇわ - Usseewa,Ado,https://img.youtube.com/vi/GtPLYvYeZ_4/maxresdefault.jpg,Kyougen,https://music.youtube.com/watch?v=GtPLYvYeZ_4,3:27,33735251,2022-01-25,2022,https://lh3.googleusercontent.com/Y1wFatIxXf8VrWHYXzZbqJnExWraXL7U7BdCpQTHCaVgCoXv2elxKX8NJdlXuepS9gWiq52msJZ-izEN=w544-h544-l90-rj
堕天 - Daten,Creepy Nuts,https://img.youtube.com/vi/OndK9RknCYU/maxresdefault.jpg,Daten,https://music.youtube.com/watch?v=OndK9RknCYU,2:53,2571205,2022-07-07,2022,https://lh3.googleusercontent.com/vzSeEiRwFEDIXqu6eqzEsoqCA_hyBIc_E1yQD-QTHh3xfORgW0iolLTFpRaQe8ZExB3wQPGmJb9oEZXSmQ=w544-h544-l90-rj
板の上の魔物 - Itano Ueno Mamono,Creepy Nuts,https://img.youtube.com/vi/Ss7eyqf3uMQ/maxresdefault.jpg,Yofukashino Uta,https://music.youtube.com/watch?v=Ss7eyqf3uMQ,5:00,755005,2021-08-03,2019,https://lh3.googleusercontent.com/TakwB5Ev9-4H_ck2Hy4KHTIy6V8Up3j1Mkaym4BYMIcyL6sV03G5UmLO-TUEwh5817wOCPT2gmHk7ELO=w544-h544-l90-rj
残機 - Time Left,ZUTOMAYO,https://img.youtube.com/vi/OMhVQLBNyGs/maxresdefault.jpg,Time Left,https://music.youtube.com/watch?v=OMhVQLBNyGs,3:51,15313023,2022-10-18,2022,https://lh3.googleusercontent.com/0YZUtskrdCiFQSFY-M7AsNKqVgdDknioVeBlbmDkonekjcuIctqXlV85A1MQf9tEsqWGOGD7_s9Aasd0=w544-h544-l90-rj
たりないふたり - Tarinai Futari,Creepy Nuts,https://img.youtube.com/vi/OiptKns1l4A/maxresdefault.jpg,Tarinai Futari,https://music.youtube.com/watch?v=OiptKns1l4A,3:50,12576421,2018-12-19,2016,https://lh3.googleusercontent.com/BRwuPbQyn-UejJ5Tlty-JyjokAx5hnDwGfKVm8TC5ExL-Wb9LzTP0KOZnLuHs3KUbGVAu7xAyavw61je=w544-h544-l90-rj
のびしろ - Nobishiro,Creepy Nuts,https://img.youtube.com/vi/qutWSXY8PdM/maxresdefault.jpg,Case,https://music.youtube.com/watch?v=qutWSXY8PdM,3:57,3498189,2021-08-31,2021,https://lh3.googleusercontent.com/EYNv92jr7j07iw9v1j9YiiMz3hMu-kjfJYBCk1VtSuL7_uV5GiaPE9tDugxWxVziu8x3tnvC5NqAGz9NsQ=w544-h544-l90-rj
ないものねだり - Revenge THE FIRST TAKE - Naimononedari Revenge the First Take (feat. Mossa),KANA-BOON,https://img.youtube.com/vi/R2OvE1oX_fs/maxresdefault.jpg,Naimononedari Revenge THE FIRST TAKE,https://music.youtube.com/watch?v=R2OvE1oX_fs,4:17,8939999,2020-09-03,2020,https://lh3.googleusercontent.com/9E8rssEaVu6Lf-SOZiYXdh5OE-PfLtEagVvmR88J6_GSWuG7ar1UpoPCcAz_B7gWlbowK6zDizIEKIbX=w544-h544-l90-rj
